Model,R2
Voting Ensemble,0.2556215733387637
Gradient Boosting,0.24473118551980821
LassoCV,0.2307656555079567
Random Forest,0.23076403359113107
Linear Regression,0.19454831093474168
Ridge,0.19443628624846165
