Feature1,Feature2,Correlation
Genre_Drama,Running Time,0.1363708693824966
Genre_Drama,ROI,-0.010014988533985253
Genre_Drama,International Sales (in $),-0.08663415351394872
Genre_Drama,Genre_Action,-0.26775653010060857
Genre_Drama,Genre_Adventure,-0.13435828960852497
Genre_Drama,Genre_Comedy,-0.10849418995973645
Genre_Drama,Genre_Drama,1.0
Genre_Drama,Genre_Biography,-0.05030025777446661
Genre_Drama,Genre_Crime,-0.04387423222967444
Genre_Biography,Budget (in $),-0.13489014358858722
Genre_Biography,World Wide Sales (in $),-0.08223347259621001
Genre_Biography,Domestic Opening (in $),-0.11548590387408696
Genre_Biography,Running Time,0.14484613074397615
Genre_Biography,ROI,-0.006915946648943666
Genre_Biography,International Sales (in $),-0.09015810276194113
Genre_Biography,Genre_Action,-0.17548892879523068
Genre_Biography,Genre_Adventure,-0.08805907482181641
Genre_Biography,Genre_Comedy,-0.07110761843749012
Genre_Biography,Genre_Drama,-0.05030025777446661
Genre_Biography,Genre_Biography,1.0
Genre_Biography,Genre_Crime,-0.028755384650397623
Genre_Crime,Budget (in $),-0.1069889947988477
Genre_Crime,World Wide Sales (in $),-0.062231505843032484
Genre_Crime,Domestic Opening (in $),-0.06917214575462251
Genre_Crime,Running Time,0.1122256267100063
Genre_Crime,ROI,-0.004752007635329702
Genre_Crime,International Sales (in $),-0.05863935171183082
Genre_Crime,Genre_Action,-0.15306963336492352
Genre_Crime,Genre_Adventure,-0.076809234576604
Genre_Crime,Genre_Comedy,-0.062023383232226455
Genre_Crime,Genre_Drama,-0.04387423222967444
Genre_Crime,Genre_Biography,-0.028755384650397623
Genre_Crime,Genre_Crime,1.0
